name,degrees,education,occupations,time_in_space,interests,nationality,age
Vance D. Brand,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Business (University of Colorado, Boulder, 1953); Bachelor of Science in Aeronautical Engineering (University of Colorado, Boulder, 1960); Master of Science in Business Administration (University of California, Los Angeles, 1964)",American Naval Officer; Aviator; Aeronautical Engineer; Test Pilot; NASA Astronaut,31d 2h 02m,,American,94
Vasily Lazarev,Degree in medicine,,"Medical Doctor; Colonel, Soviet Air Force",1d 23h 36m,,Soviet,
Vasily Tsibliyev,,,"Pilot; Lieutenant General, Russian Air Force; Cosmonaut; Head of the Yuri Gagarin Cosmonaut Training Center",381d 15h 52m,,Russian,71
Viktor Afanasyev,,"None (Kachynskoye Military Pilot School, 1970); None (Ordzhonikidze Aviation Institute, Moscow, 1980)","Pilot; Colonel, Russian Air Force; Cosmonaut; Test Pilot",555d 18h 33m,football; swimming; tourism,Russian,
Viktor Gorbatko,,,"Pilot; Major General, Soviet Air Force",30d 12h 47m,,Soviet,
Viktor Patsayev,,,Engineer,23d 18h 21m,,Soviet Union,38
Viktor Savinykh,Doctor of Technical Sciences,,Flight engineer; Soviet cosmonaut; Scientist; Organizer of personnel training,196d 16h 59m,,Soviet / Russian,85
Vitaly Sevastyanov,Engineer,"Engineer (Moscow Aviation Institute, 1959)",Engineer; Cosmonaut,80d 16h 18m,,Soviet,
Vitaly Zholobov,,,"Engineer; Colonel, Soviet Air Force; Cosmonaut; Director of a geological science research group; Chairman of the Kherson Regional Council; Deputy General Director of the National Space Agency of Ukraine; Chairman of the board of the Kyiv organization 'Slava'; President of the All-Ukrainian association 'Slava'; President of the Aerospace Society of Ukraine",49d 06h 23m,,Ukrainian,88
Vladimir Aksyonov,Degree in Mechanical Engineering,"Degree in Mechanical Engineering (All-Union Correspondence Polytechnic Institute, 1963); None (Mytishchi Engineering College, 1953); None (10th Military Aviation School for Primary Pilot Training, 1955); None (Chuguev Military Aviation School of Pilots, None)",Pilot; Cosmonaut; Deputy Chairman of the Board of the Soviet Peace Fund; Director of the State Research Center for the Study of Natural Resources; General Director of NPO Planeta; Deputy Chairman of the Executive Committee of the Cosmos Association; Deputy Chairman of the Board of Directors of Mosbiznesbanka; Chairman of the Presidium of the Spiritual Movement of Russia; President of the Institute for Security and Sustainable Development Science Foundation,11 days 20 hours 11 minutes,,Russia,89
Vladimir Dezhurov,Diploma,"Pilot Engineer's Diploma (S.I. Gritsevits Kharkov Higher Military Aviation School, 1983); None (Yuri A. Gagarin Air Force Academy, None)","Mechanical Engineer; Lieutenant Colonel, Russian Air Force; Cosmonaut",244d 05h 28m,,Russian,63
Vladimir Dzhanibekov,,"Physics (Leningrad University, None); Physics (Rostov University, None); Mil. pilot with instructor certificate (Yeisk Military Flight Academy, 1965)","Military pilot; Major General, Soviet Air Force; Cosmonaut","145 days, 15 hours, and 56 minutes",flying; photography; painting,Soviet,83
Vladimir Komarov,,"Graduated with honors (1st Moscow Special Air Force School, 1945); Completed first year of training (Chkalov Higher Air Force School, 1946); Pilot's wings and commission as a lieutenant (A.K. Serov Military Aviation College, 1949); Engineering course (Zhukovsky Air Force Engineering Academy, None)","Engineer; Test pilot; Cosmonaut; Colonel, Soviet Air Force",2d 03h 04m,hunting; cross country skiing; ice hockey,Soviet Union,40
Vladimir Kovalyonok,,,"Pilot-cosmonaut; Colonel General, Soviet Air Force",216d 09h 08m,,Belarus,83
Vladimir Lyakhov,,,"Pilot; Colonel, Soviet Air Force; Cosmonaut; Deputy Director for cosmonaut training; Deputy Commander of the cosmonaut corps",333d 07h 47m,,Ukraine,
Vladimir Shatalov,Candidate of Technical Sciences,"Candidate of Technical Sciences (Gagarin Academy, 1972); None (Air Force Academy, 1956); None (Kachinsk Military Aviation School, 1949)","Pilot; Lieutenant General, Soviet Air Force; Cosmonaut",9d 21h 55m,,Russia,93
Vladimir Titov,,"None (Secondary School, 1965); None (Higher Air Force College, Chernihiv, Ukraine, 1970); None (Gagarin Air Force Academy, 1987)","Pilot; Colonel; Cosmonaut; Director of Space and Communications, Boeing Company; General Director, Russian Operations, Excalibur Almaz",387d 00h 45m,,Russia,78
Vladimir Vasyutin,,"None (Higher Air Force School, None); None (Test Pilot School, None); Deputy Faculty Chief (Gagarin Air Force Academy, None)","Pilot; Lieutenant General, Russian Air Force; Cosmonaut; Deputy Faculty Chief, VVA - Gagarin Air Force Academy",64d 21h 52m,,Soviet,50
Vladimír Remek,,"None (Vyšší Letecké Učiliště, 1970); None (Gagarin Air Force Academy, 1976); None (Voroshilov-Staff Academy of Soviet Air Force, 1988)",Pilot; Cosmonaut; Politician; Ambassador,7d 22h 17m,,Czech,76
Vladislav Volkov,Graduated from the Moscow Aviation Institute,"None (Moscow Aviation Institute, 1959)",Engineer; Cosmonaut,28d 17h 01m,,Soviet Union,
Vyacheslav Zudov,,,"Pilot; Colonel, Soviet Air Force; Cosmonaut",2d 00h 06m,,Soviet Union,
Wally Schirra,Bachelor of Science degree,"None (New Jersey Institute of Technology, None); Bachelor of Science (United States Naval Academy, 1945)",American naval aviator; Test pilot; NASA astronaut; Consultant,12d 7h 12m,,United States,
Walter Cunningham,AS; Bachelor of Arts degree; Master of Arts degree,"AS (Santa Monica College, None); BA (University of California, Los Angeles, 1960); MA (University of California, Los Angeles, 1961)",Astronaut; Fighter pilot; Physicist; Entrepreneur; Venture capitalist; Author; Radio talk-show host; Public speaker; Consultant; Chairman of the Texas Aerospace Commission,10d 20h 8m,,United States,90
Wendy B. Lawrence,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Ocean Engineering (United States Naval Academy, 1981); Master of Science in Ocean Engineering (Massachusetts Institute of Technology and Woods Hole Oceanographic Institution, 1988)","Captain, USN (ret.); Engineer; Former helicopter pilot; NASA astronaut; Physics instructor; Novice women's crew coach",51d 3h 56m,,United States,66
William A. Pailes,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Computer Science (United States Air Force Academy, 1974); Master of Science in Computer Science (Texas A&M University, 1981)","Computer Scientist; Colonel, USAF; Payload Specialist",4d 01h 44 m,,American,73
William Anders,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Electrical Engineering (United States Naval Academy, 1955); Master of Science in Nuclear Engineering (Air Force Institute of Technology, 1962)","Major General, United States Air Force (Reserve); Electrical Engineer; Nuclear Engineer; NASA Astronaut; Businessman; Executive Secretary, National Aeronautics and Space Council; Commissioner, United States Atomic Energy Commission; Chairman, Nuclear Regulatory Commission; United States Ambassador to Norway; Vice President and General Manager, General Electric; Chairman and CEO, General Dynamics",6d 3h,,American,
William B. Lenoir,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Electrical Engineering (Massachusetts Institute of Technology, 1961); Master of Science (Massachusetts Institute of Technology, 1962); Doctor of Philosophy in EECS (Massachusetts Institute of Technology, 1965)",Electrical Engineer; NASA Astronaut; Instructor at MIT; Associate Professor of Electrical Engineering; Vice President of Applied Systems Division at Booz Allen Hamilton,5d 2h 14m,,American,
William C. McCool,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Applied Science (United States Naval Academy, 1983); Master of Science in Computer Science (University of Maryland, College Park, 1985); Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1992)",Naval Officer; Aviator; Test Pilot; Aeronautical Engineer; NASA Astronaut,15 days 22 hours 20 minutes,,United States,
William E. Thornton,Bachelor of Science degree; Doctorate in Medicine,"Bachelor of Science in Physics (University of North Carolina, 1952); Doctorate in Medicine (University of North Carolina, 1963)","NASA Astronaut; Physician; Clinical Assistant Professor, University of Texas Medical Branch; Adjunct Professor, University of Houston–Clear Lake",13d 1h 16m,,American,
William F. Readdy,Bachelor of Science degree,"Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1974)","Captain, USN; Astronaut; Associate Administrator of the Office of Space Flight, NASA",28d 0h 44m,,United States,73
William Frederick Fisher,Bachelor of Arts degree; Doctor of Medicine,"Bachelor of Arts in Biological Sciences (Stanford University, 1968); Doctor of Medicine (University of Florida, 1975); Graduate work in Engineering (University of Houston, None)",American physician; NASA astronaut; Mission Specialist on STS-51-I,7d 2h 17m,,United States,79
William G. Gregory,Bachelor of Science degree; Master of Science degree,"BS (United States Air Force Academy, 1979); MS in Engineering Mechanics (Columbia University, 1980); MS in Management (Troy University, 1984)","Lieutenant Colonel, USAF; Astronaut; Test Pilot; Vice President of Business Development at Qwaltec, Inc.; Airline Pilot",16d 15h 8m 46s,,Albanian American,68
William Oefelein,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in electrical engineering (Oregon State University, 1988); Master of Science in aviation systems (University of Tennessee Space Institute, 1998)","Commander, USN; Astronaut; Freelance adventure writer; Photographer",12d 20h 45m,,American,60
William Pogue,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Education (Oklahoma Baptist University, 1951); Master of Science in Mathematics (Oklahoma State University, 1960)","Astronaut; Pilot; Teacher; Public Speaker; Author; Colonel, United States Air Force (USAF)",84 days 1 hour 15 minutes,,American,
William S. McArthur,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Applied Science and Engineering (United States Military Academy, 1973); Master of Science in Aerospace Engineering (Georgia Institute of Technology, 1983)","Colonel, United States Army; NASA astronaut; Experimental test pilot; Flight test engineer; Director of Safety and Mission Assurance for the Johnson Space Center",224d 22h 19m,cycling; photography; working with personal computers,United States,74
William Shepherd,Aerospace Engineering; Ocean Engineering; Mechanical Engineering,"Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1971); Engineer's degree in Ocean Engineering (Massachusetts Institute of Technology, 1978); Master of Science in Mechanical Engineering (Massachusetts Institute of Technology, 1978)","Captain, USN; Navy SEAL; Aerospace Engineer; Ocean Engineer; Mechanical Engineer; NASA Astronaut",159d 7h 49min,,American,76
Winston E. Scott,Bachelor of Arts degree; Master of Science degree,"Bachelor of Arts in Music (Florida State University, 1972); Master of Science in Aeronautical Engineering (Naval Postgraduate School, 1980)","Captain, USN; Naval Aviator; Astronaut; Vice President of Florida Institute of Technology; Executive Director of the Florida Space Authority",24d 14h 35m,martial arts; music; trumpet; flying general aviation aircraft; electronics hobbyist,United States,75
Wubbo Ockels,Master of Science degree; Doctor of Philosophy (PhD),"MSc in Physics and Mathematics (University of Groningen, 1973); PhD in Physics and Mathematics (University of Groningen, 1978)",Physicist; Astronaut; Professor of Aerospace Engineering,"7 days, 44 minutes",,Netherlands,
Yang Liwei,Bachelor's degree; Doctor of Philosophy (PhD),"Bachelor's degree (Air Force Second Flight Academy, 1987); Doctor of Philosophy in Management (Tsinghua University, 2009)","Vice Chief Designer, China Manned Space Engineering; PLAAF fighter pilot; Major General; Director of the China Manned Space Engineering Office; Taikonaut","21 hours, 22 minutes, 45 seconds",,China,60
Yapi Wang,,,,,,China,
Yelena Kondakova,Engineer,"Engineer (Bauman Moscow State Technical University, 1980); None (Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation, 2006)",Politician; Flight Engineer; Mission Specialist; Trade Representative,178d 10h 41 m,,Russia,68
Yelena Serova,Engineer; Economist,"Engineer (Moscow Aviation Institute, 2001); Economist (Moscow State Academy of Instrument Engineering and Information, 2003)",Politician; Engineer; Cosmonaut; Flight Engineer,167d 05h 42m,flying; economics,Russia,49
